ip,probabilidade_malicioso,razao_suspeita,ausencia_usuario,frequencia_acesso,ips_conversando,media_intervalo_temporal,porta_destino,noturno,porta_privilegiada,na_blacklist,acessos_por_minuto,diversidade_portas
167.172.69.229,0.7587323232323232,Taxa anormal de acessos (11.2/min),0.6071428571428571,17,0,6.472727272727273,7680,0,0,0,11.2,2
167.172.69.229,0.7587323232323232,Taxa anormal de acessos (11.2/min),0.6071428571428571,18,0,6.472727272727273,7680,0,0,0,11.2,2
167.172.69.229,0.7587323232323232,Taxa anormal de acessos (11.2/min),0.6071428571428571,19,0,6.472727272727273,7680,0,0,0,11.2,2
167.172.69.229,0.7587323232323232,Taxa anormal de acessos (11.2/min),0.6071428571428571,20,0,6.472727272727273,7680,0,0,0,11.2,2
167.172.69.229,0.7587323232323232,Taxa anormal de acessos (11.2/min),0.6071428571428571,21,0,6.472727272727273,7680,0,0,0,11.2,2
167.172.69.229,0.7587323232323232,Taxa anormal de acessos (11.2/min),0.6071428571428571,22,0,6.472727272727273,7680,0,0,0,11.2,2
167.172.69.229,0.7587323232323232,Taxa anormal de acessos (11.2/min),0.6071428571428571,6,0,6.472727272727273,7680,0,0,0,11.2,2
204.79.197.203,0.7570656565656566,Padrão genérico suspeito,0.25,1,0,15.666666666666666,443,0,0,0,0.8,1
172.22.10.7,0.7298116883116883,Alta taxa de acessos sem autenticação,1.0,8,0,3.8333333333333335,53,0,0,0,2.6,1
191.168.0.7,0.7298116883116883,Alta taxa de acessos sem autenticação,1.0,5,0,0.16666666666666666,53,0,0,0,1.4,1
172.22.10.7,0.7298116883116883,Alta taxa de acessos sem autenticação,1.0,9,0,3.8333333333333335,53,0,0,0,2.6,1
191.168.0.7,0.7298116883116883,Alta taxa de acessos sem autenticação,1.0,4,0,0.16666666666666666,53,0,0,0,1.4,1
192.168.0.1,0.7298116883116883,Alta taxa de acessos sem autenticação,1.0,4,0,15.333333333333334,80,0,0,0,0.8,2
177.174.96.175,0.7298116883116883,Alta taxa de acessos sem autenticação,1.0,3,0,0.6,443,0,0,0,1.2,1
191.168.0.6,0.7298116883116883,Alta taxa de acessos sem autenticação,1.0,4,0,15.666666666666666,53,0,0,0,0.8,1
35.166.130.185,0.7298116883116883,Alta taxa de acessos sem autenticação,1.0,3,0,0.6666666666666666,443,0,0,0,0.8,1
35.166.130.185,0.7298116883116883,Alta taxa de acessos sem autenticação,1.0,2,0,0.6666666666666666,443,0,0,0,0.8,1
172.22.10.7,0.7298116883116883,Alta taxa de acessos sem autenticação,1.0,7,0,3.8333333333333335,53,0,0,0,2.6,1
191.168.0.7,0.7298116883116883,Alta taxa de acessos sem autenticação,1.0,3,0,0.16666666666666666,53,0,0,0,1.4,1
172.22.10.7,0.7298116883116883,Alta taxa de acessos sem autenticação,1.0,6,0,3.8333333333333335,53,0,0,0,2.6,1
172.22.10.6,0.7298116883116883,Alta taxa de acessos sem autenticação,1.0,5,0,3.9166666666666665,53,0,0,0,2.6,1
172.22.10.6,0.7298116883116883,Alta taxa de acessos sem autenticação,1.0,6,0,3.9166666666666665,53,0,0,0,2.6,1
177.174.96.175,0.7298116883116883,Alta taxa de acessos sem autenticação,1.0,2,0,0.6,443,0,0,0,1.2,1
177.174.96.169,0.7298116883116883,Alta taxa de acessos sem autenticação,1.0,9,0,0.4,443,0,0,0,2.2,1
172.22.10.6,0.7298116883116883,Alta taxa de acessos sem autenticação,1.0,7,0,3.9166666666666665,53,0,0,0,2.6,1
177.174.96.175,0.7298116883116883,Alta taxa de acessos sem autenticação,1.0,6,0,0.6,443,0,0,0,1.2,1
177.174.96.169,0.7298116883116883,Alta taxa de acessos sem autenticação,1.0,11,0,0.4,443,0,0,0,2.2,1
177.174.96.169,0.7298116883116883,Alta taxa de acessos sem autenticação,1.0,10,0,0.4,443,0,0,0,2.2,1
172.22.10.6,0.7298116883116883,Alta taxa de acessos sem autenticação,1.0,12,0,3.9166666666666665,53,0,0,0,2.6,1
35.166.130.185,0.7298116883116883,Alta taxa de acessos sem autenticação,1.0,4,0,0.6666666666666666,443,0,0,0,0.8,1
172.22.10.7,0.7298116883116883,Alta taxa de acessos sem autenticação,1.0,13,0,3.8333333333333335,53,0,0,0,2.6,1
172.22.10.7,0.7298116883116883,Alta taxa de acessos sem autenticação,1.0,12,0,3.8333333333333335,53,0,0,0,2.6,1
172.22.10.7,0.7298116883116883,Alta taxa de acessos sem autenticação,1.0,11,0,3.8333333333333335,53,0,0,0,2.6,1
191.168.0.7,0.7298116883116883,Alta taxa de acessos sem autenticação,1.0,2,0,0.16666666666666666,53,0,0,0,1.4,1
172.22.10.6,0.7298116883116883,Alta taxa de acessos sem autenticação,1.0,11,0,3.9166666666666665,53,0,0,0,2.6,1
172.22.10.6,0.7298116883116883,Alta taxa de acessos sem autenticação,1.0,10,0,3.9166666666666665,53,0,0,0,2.6,1
172.22.10.6,0.7298116883116883,Alta taxa de acessos sem autenticação,1.0,8,0,3.9166666666666665,53,0,0,0,2.6,1
172.22.10.6,0.7298116883116883,Alta taxa de acessos sem autenticação,1.0,9,0,3.9166666666666665,53,0,0,0,2.6,1
177.174.96.169,0.7298116883116883,Alta taxa de acessos sem autenticação,1.0,8,0,0.4,443,0,0,0,2.2,1
172.22.10.7,0.7298116883116883,Alta taxa de acessos sem autenticação,1.0,10,0,3.8333333333333335,53,0,0,0,2.6,1
177.174.96.175,0.7298116883116883,Alta taxa de acessos sem autenticação,1.0,5,0,0.6,443,0,0,0,1.2,1
191.168.0.7,0.7298116883116883,Alta taxa de acessos sem autenticação,1.0,7,0,0.16666666666666666,53,0,0,0,1.4,1
177.174.96.175,0.7298116883116883,Alta taxa de acessos sem autenticação,1.0,4,0,0.6,443,0,0,0,1.2,1
191.168.0.7,0.7298116883116883,Alta taxa de acessos sem autenticação,1.0,6,0,0.16666666666666666,53,0,0,0,1.4,1
177.174.96.169,0.7298116883116883,Alta taxa de acessos sem autenticação,1.0,7,0,0.4,443,0,0,0,2.2,1
177.174.96.169,0.7298116883116883,Alta taxa de acessos sem autenticação,1.0,6,0,0.4,443,0,0,0,2.2,1
35.166.130.185,0.7298116883116883,Alta taxa de acessos sem autenticação,1.0,1,0,0.6666666666666666,443,0,0,0,0.8,1
192.168.1.50,0.7298116883116883,Alta taxa de acessos sem autenticação,1.0,15,0,0.9375,80,0,0,0,3.4,4
191.168.0.7,0.7298116883116883,Alta taxa de acessos sem autenticação,1.0,1,0,0.16666666666666666,53,0,0,0,1.4,1
192.168.1.50,0.7298116883116883,Alta taxa de acessos sem autenticação,1.0,5,0,0.9375,80,0,0,0,3.4,4
192.168.1.50,0.7298116883116883,Alta taxa de acessos sem autenticação,1.0,13,0,0.9375,500,0,0,0,3.4,4
192.168.1.50,0.7298116883116883,Alta taxa de acessos sem autenticação,1.0,12,0,0.9375,443,0,0,0,3.4,4
192.168.1.50,0.7298116883116883,Alta taxa de acessos sem autenticação,1.0,11,0,0.9375,80,0,0,0,3.4,4
192.168.1.50,0.7298116883116883,Alta taxa de acessos sem autenticação,1.0,10,0,0.9375,22,0,0,0,3.4,4
192.168.1.50,0.7298116883116883,Alta taxa de acessos sem autenticação,1.0,9,0,0.9375,443,0,0,0,3.4,4
192.168.1.50,0.7298116883116883,Alta taxa de acessos sem autenticação,1.0,8,0,0.9375,80,0,0,0,3.4,4
192.168.1.50,0.7298116883116883,Alta taxa de acessos sem autenticação,1.0,7,0,0.9375,22,0,0,0,3.4,4
192.168.1.50,0.7298116883116883,Alta taxa de acessos sem autenticação,1.0,6,0,0.9375,443,0,0,0,3.4,4
192.168.1.50,0.7298116883116883,Alta taxa de acessos sem autenticação,1.0,4,0,0.9375,22,0,0,0,3.4,4
172.22.10.6,0.7298116883116883,Alta taxa de acessos sem autenticação,1.0,2,0,3.9166666666666665,53,0,0,0,2.6,1
192.168.1.50,0.7298116883116883,Alta taxa de acessos sem autenticação,1.0,3,0,0.9375,443,0,0,0,3.4,4
192.168.1.50,0.7298116883116883,Alta taxa de acessos sem autenticação,1.0,2,0,0.9375,80,0,0,0,3.4,4
192.168.1.50,0.7298116883116883,Alta taxa de acessos sem autenticação,1.0,1,0,0.9375,22,0,0,0,3.4,4
172.22.10.6,0.7298116883116883,Alta taxa de acessos sem autenticação,1.0,1,0,3.9166666666666665,53,0,0,0,2.6,1
192.168.0.1,0.7298116883116883,Alta taxa de acessos sem autenticação,1.0,1,0,15.333333333333334,80,0,0,0,0.8,2
172.22.10.7,0.7298116883116883,Alta taxa de acessos sem autenticação,1.0,1,0,3.8333333333333335,53,0,0,0,2.6,1
191.168.0.6,0.7298116883116883,Alta taxa de acessos sem autenticação,1.0,1,0,15.666666666666666,53,0,0,0,0.8,1
192.168.1.82,0.7298116883116883,Alta taxa de acessos sem autenticação,1.0,1,0,24.0,9279,0,0,0,0.8,4
191.168.0.6,0.7298116883116883,Alta taxa de acessos sem autenticação,1.0,2,0,15.666666666666666,53,0,0,0,0.8,1
177.174.96.169,0.7298116883116883,Alta taxa de acessos sem autenticação,1.0,1,0,0.4,443,0,0,0,2.2,1
172.22.10.7,0.7298116883116883,Alta taxa de acessos sem autenticação,1.0,5,0,3.8333333333333335,53,0,0,0,2.6,1
172.22.10.7,0.7298116883116883,Alta taxa de acessos sem autenticação,1.0,2,0,3.8333333333333335,53,0,0,0,2.6,1
177.174.96.169,0.7298116883116883,Alta taxa de acessos sem autenticação,1.0,5,0,0.4,443,0,0,0,2.2,1
